date,assets_total,factor_count,factor_coverage,valid_pairs,ic,rank_ic,factor_mean,factor_std,factor_min,factor_max
2023-01-03,1000,904,0.904,904,-0.09688617653487454,-0.015234417813371736,-2.7902950353411013e-16,0.9999999999999993,-4.733545089277943,2.4073926531017897
2023-01-04,1000,905,0.905,905,-0.09706779720819189,-0.032135145256915375,-1.7272862084775916e-16,1.0,-4.950034139797993,2.358556821739297
2023-01-05,1000,906,0.906,906,-0.09111125386306328,-0.022419022038570328,3.137054021015895e-17,0.9999999999999997,-4.860480285627599,2.4182571637569
2023-01-06,1000,906,0.906,905,-0.08430126839593655,-0.025065601261622987,-1.254821608406358e-16,1.0000000000000002,-5.163860604766006,2.4216706072959058
2023-01-09,1000,905,0.905,905,-0.06854224062793308,-0.005769535491706216,-2.6694423221926416e-16,1.0,-5.139231256597597,2.5648400338312296
2023-01-10,1000,905,0.905,905,-0.06223943342253833,-0.012505071948009195,-2.355390284287625e-17,0.9999999999999993,-4.88805439298535,2.5495485739726123
2023-01-11,1000,903,0.903,902,-0.059757249310447194,-0.014261920150190762,-1.180303547774253e-16,0.9999999999999998,-4.61194594258111,2.6040205585226563
2023-01-12,1000,902,0.902,902,-0.05080764794083303,-0.006031060794163676,-5.5141897453666315e-17,1.0000000000000009,-4.759002979657651,2.628923082800275
2023-01-13,1000,902,0.902,902,-0.05534181152644719,0.0026679960794249455,6.301931137561864e-17,1.0000000000000004,-4.623862933864853,2.649822291271693
2023-01-16,1000,905,0.905,905,-0.03483998714094834,0.0044051247685747644,-3.925650473812708e-17,1.0000000000000002,-4.406294771268304,2.610212437876392
2023-01-17,1000,906,0.906,906,-0.009713004322822466,0.010874147855260944,-4.705581031523842e-17,1.0000000000000002,-4.135289475060103,2.6809672495740746
2023-01-18,1000,909,0.909,909,0.012636337363469545,0.039396174792497296,-3.5957058135274596e-16,0.9999999999999993,-4.365291259223687,2.707080659310183
2023-01-19,1000,907,0.907,907,-0.0011350852004925593,0.022976158365285125,-6.26719061309901e-17,0.9999999999999991,-4.216366630325646,2.7275418952594563
2023-01-20,1000,912,0.912,912,-0.06222397167433739,-0.042570171377938684,7.791038769299344e-18,0.9999999999999996,-4.326895372900435,2.619328203450853
2023-01-30,1000,913,0.913,913,-0.034561070783052386,-0.018213040668350763,9.33900638457963e-17,1.0,-4.479597257089276,2.6480194034319613
2023-01-31,1000,914,0.914,914,-0.02812029055912201,-0.055844005367961094,6.219192435536982e-17,1.0000000000000004,-4.6881988195075035,2.5128751181241262
2023-02-01,1000,916,0.916,916,-0.021175637640747844,-0.055687206288868175,2.1719646944631882e-16,1.0000000000000018,-4.626503579854089,2.4672198419472
2023-02-02,1000,917,0.917,917,-0.03864036899547107,-0.08232463132741703,1.549711528375355e-17,1.0000000000000009,-4.696993433226089,2.4146752210502176
2023-02-03,1000,919,0.919,918,0.00024599043516502497,-0.05269818287217419,3.0153609025727863e-16,1.000000000000001,-4.8984352004590015,2.3764538861090307
2023-02-06,1000,918,0.918,917,-0.027112703208253607,-0.07371114125737306,1.0062152031461113e-16,1.0000000000000002,-5.386059478220001,2.3932464733257905
2023-02-07,1000,919,0.919,918,-0.01720449581402094,-0.08788093920596661,2.3195083865944513e-16,0.9999999999999993,-5.306963831939418,2.2857216813159345
2023-02-08,1000,919,0.919,918,-0.008394532268225311,-0.05755182511825513,1.932923655495376e-16,1.0000000000000004,-5.1891253465824265,2.3365345923377037
2023-02-09,1000,921,0.921,920,-0.06362005036967924,-0.117257224031251,-1.5429809679915313e-16,0.9999999999999998,-5.514547641530854,2.3025775667596404
2023-02-10,1000,921,0.921,921,-0.0811121736584929,-0.13183386321059137,1.6972790647906845e-16,0.9999999999999983,-5.634152166443545,2.315625857807383
2023-02-13,1000,920,0.92,920,-0.10281822666911945,-0.150634805086331,3.8616453030440226e-17,0.9999999999999989,-5.624118573268506,2.442664037297035
