sessions,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,total_cost,mean_turnover,total_turnover,max_asset_weight,mean_holdings,trade_count,blocked_orders,stale_holding_days,gross_attribution_total_return,benchmark_return,benchmark_annualized_return,benchmark_max_drawdown,excess_return_pp,relative_wealth_return,annualized_tracking_error,information_ratio,beta,benchmark_base_price,beats_benchmark,active_max_drawdown,open_base_benchmark_return,mean_cash_weight,partial_fill_orders,worst_year_excess,experiment,total_return_benchmark,excess_vs_total_return,etf_adjusted_return
417,0.2512879392214835,0.14507676472915354,0.11312823334611492,1.2546076323360702,0.09884684203046823,24506.762609209934,0.040827463388233315,17.02505223289329,0.040697150962849475,50.33573141486811,1461,5,27,0.2757947018306932,0.1454878431936033,0.08554773586784337,0.12048600437080903,0.10580009602788021,0.09236247827206179,0.15600986288979865,0.29166982809617065,0.2978580169667592,3934.9109,True,0.18413412587641664,0.1463896512946754,0.17871233901044173,4,0.04102542927191699,V3最新候选,0.19938702337570868,0.05190091584429135,0.1981514603525143
417,0.22477543771072184,0.1303527124146251,0.11328838445866965,1.138707180396578,0.10194671205470451,48408.560842826206,0.040746183516083154,16.991158526206675,0.04065564224442669,50.33573141486811,1461,5,27,0.273183998553548,0.1454878431936033,0.08554773586784337,0.12048600437080903,0.07928759451711853,0.06921731643704376,0.155939449379854,0.20888955212937016,0.2988778507687156,3934.9109,True,0.1928042335516308,0.1463896512946754,0.1798935141059847,4,0.023590744613722237,双倍交易费用,0.19938702337570868,0.025388414334291287,0.1981514603525143
417,0.2731222566507838,0.1571102562477873,0.1154522207546975,1.3222560164988164,0.10665798550020511,25319.855771415612,0.04172337558321038,17.39864761819873,0.0408377108069379,50.28776978417266,1475,3,25,0.2984421124221994,0.1454878431936033,0.08554773586784337,0.12048600437080903,0.12763441345718052,0.11142362986702481,0.15591497809725785,0.36064026111472247,0.307680690329767,3934.9109,True,0.18188702621286557,0.1463896512946754,0.18028475829917037,3,0.056893571399959875,信号延后一天,0.19938702337570868,0.07373523327429132,0.1981514603525143
901,0.44086423266777053,0.1075546438840902,0.1366940356856539,0.8158789264582855,0.1969963787455672,53937.69657137232,0.04017336056898487,36.19619787265537,0.04260109527234044,50.22197558268591,3318,6,45,0.4948019292391428,0.16420943530351462,0.043441707365690974,0.24803913984688253,0.2766547973642559,0.23763318607028028,0.1398373627921254,0.38511912588287095,0.48568983861361475,3871.6338,True,0.21408638672538416,0.1662572658976751,0.2416266555403311,8,-0.07276460738457113,2023起连续运行,0.28859462923592183,0.15226960343407825,0.2710071262835525
