date,target_exposure,estimated_volatility,defensive,max_stock_weight,holdings
2024-12-31,0.69929695615938,0.27170145433422455,False,0.03440694363537674,50
2025-02-06,0.878882854476877,0.17731042433545535,False,0.02936767636882784,50
2025-03-06,0.801588349686279,0.14506621720635723,False,0.03416553490096748,50
2025-04-03,0.70836858343716,0.1253170074421699,True,0.029094520341218715,50
2025-05-07,0.7124999999999999,0.19091012624974843,True,0.0224856618353359,50
2025-06-05,0.9499999999999998,0.15760818327005327,False,0.03338813198274683,50
2025-07-03,0.948390702837062,0.18608170278279976,False,0.04,50
2025-07-31,0.9500000000000001,0.11165362778669224,False,0.03336172463074424,50
2025-08-28,0.95,0.1126286990182685,False,0.03538759499186602,50
2025-09-25,0.95,0.1263447091344813,False,0.034361516554191444,50
2025-10-31,0.9499999999999997,0.1184980051446752,False,0.03498090350094723,50
2025-11-28,0.9444426465929262,0.11853562504306232,False,0.04,50
2025-12-26,0.9499999999999997,0.1063879789684999,False,0.03735928700117244,50
2026-01-27,0.8575281409984686,0.10445854398260847,False,0.02763865264171516,50
2026-03-04,0.6922550918462949,0.10626045678926392,True,0.0229369358282796,50
2026-04-01,0.6644369604242253,0.15965965047097466,True,0.019959567651959935,50
2026-04-30,0.7632094528869836,0.15868567620322332,False,0.028983374388544265,50
2026-06-02,0.703787125822898,0.16284191177347976,False,0.026735912390979666,50
2026-07-01,0.7104503963842186,0.16242656168646571,False,0.023599533905856927,50
2026-07-29,0.6205427800007877,0.1671858374355483,True,0.02344449850700852,50
2026-08-26,0.7124999999999997,0.16986147744231198,True,0.024538575878630967,50
