period,start,end,strategy_return,benchmark_return,excess_return_pp
2023,2023-01-03,2023-12-29,0.07115508383703117,-0.1137824295262636,0.18493751336329478
2024,2024-01-02,2024-12-31,0.0740686374497026,0.14683324483427374,-0.07276460738457113
2025,2025-01-02,2025-12-31,0.22443062792221746,0.17663134379993228,0.04779928412228518
2026,2026-01-05,2026-09-18,0.022832425509969223,-0.02646835881980747,0.04930078432977669
