period,start,end,strategy_return,benchmark_return,excess_return_pp
2025,2025-01-02,2025-12-31,0.21765677307184927,0.17663134379993228,0.04102542927191699
2026,2026-01-05,2026-09-18,0.027619577941319973,-0.02646835881980758,0.05408793676112755
