date,nav,return,cash,market_value,opening_nav,buy_notional,sell_notional,cost,cumulative_cost,turnover,holdings_count,max_weight,stale_holdings,blocked_orders,rebalance,written_down_holdings,gross_attribution_nav
2025-01-02,982232.205318,-0.0177677946823,346927.405003,635304.800315,1000000,652420.174823,0,652.420174823,652.420174823,0.652420174823,50,0.0288746996434,0,0,True,0,982884.625493
2025-01-03,978200.505622,-0.00410462991773,346927.405003,631273.100619,983254.17603,0,0,0,652.420174823,0,50,0.029345146971,0,0,False,0,978852.925796
2025-01-06,982484.119822,0.00437907583925,346927.405003,635556.714819,978291.18427,0,0,0,652.420174823,0,50,0.0289547726611,0,0,False,0,983136.539997
2025-01-07,981386.336042,-0.00111735524003,346927.405003,634458.93104,980658.468093,0,0,0,652.420174823,0,50,0.0287244380989,0,0,False,0,982038.756217
2025-01-08,980987.813814,-0.000406080881383,346927.405003,634060.408811,980051.214561,0,0,0,652.420174823,0,50,0.0288237173658,0,0,False,0,981640.233989
2025-01-09,974331.014546,-0.00678581239701,346927.405003,627403.609543,979452.815907,0,0,0,652.420174823,0,50,0.0282708724959,0,0,False,0,974983.43472
2025-01-10,965946.621989,-0.00860528139917,346927.405003,619019.216987,974509.872156,0,0,0,652.420174823,0,50,0.0277599814181,0,0,False,0,966599.042164
2025-01-13,961616.033633,-0.00448325845109,346927.405003,614688.628631,963120.62897,0,0,0,652.420174823,0,50,0.0278403095715,0,0,False,0,962268.453808
2025-01-14,972400.390305,0.0112148261831,346927.405003,625472.985303,962181.488382,0,0,0,652.420174823,0,50,0.0277966993912,0,0,False,0,973052.81048
2025-01-15,972718.868655,0.000327517711,346927.405003,625791.463653,971513.670623,0,0,0,652.420174823,0,50,0.0280084855707,0,0,False,0,973371.28883
2025-01-16,977502.921797,0.0049182279647,346927.405003,630575.516794,974936.506523,0,0,0,652.420174823,0,50,0.0278274464235,0,0,False,0,978155.341972
2025-01-17,976980.77659,-0.000534162298031,346927.405003,630053.371587,976505.952472,0,0,0,652.420174823,0,50,0.027930288152,0,0,False,0,977633.196765
2025-01-20,973074.539407,-0.00399827435307,346927.405003,626147.134405,977318.841248,0,0,0,652.420174823,0,50,0.0279982481236,0,0,False,0,973726.959582
2025-01-21,969188.910816,-0.00399314588393,346927.405003,622261.505813,974709.406766,0,0,0,652.420174823,0,50,0.0278444674965,0,0,False,0,969841.33099
2025-01-22,962009.302518,-0.00740785229573,346927.405003,615081.897515,968486.636365,0,0,0,652.420174823,0,50,0.0280076053763,0,0,False,0,962661.722692
2025-01-23,969694.622588,0.00798882095044,346927.405003,622767.217585,966011.665137,0,0,0,652.420174823,0,50,0.0281401525526,0,0,False,0,970347.042763
2025-01-24,973964.109638,0.00440291917773,346927.405003,627036.704636,968865.490422,0,0,0,652.420174823,0,50,0.0283697643799,0,0,False,0,974616.529813
2025-01-27,980650.647862,0.00686528195208,346927.405003,633723.24286,974584.504645,0,0,0,652.420174823,0,50,0.0291403682146,0,0,False,0,981303.068037
2025-02-05,969328.156992,-0.0115458964866,346927.405003,622400.75199,981832.404975,0,0,0,652.420174823,0,50,0.0287714386255,0,0,False,0,969980.577167
2025-02-06,971587.583296,0.0023309199132,346927.405003,624660.178293,969289.164135,0,0,0,652.420174823,0,50,0.0289256749674,0,0,False,0,972240.003471
2025-02-07,975110.848484,0.00362629705119,318126.127103,656984.721382,970938.01644,111177.664781,82611.4817689,235.094887435,887.515062257,0.19958961671,50,0.0249959698429,0,0,True,0,975998.363547
2025-02-10,973316.15518,-0.00184050183355,318126.127103,655190.028077,974600.485659,0,0,0,887.515062257,0,50,0.0248695938233,0,0,False,0,974203.670242
2025-02-11,974179.323317,0.000886832230867,318126.127103,656053.196214,973804.362878,0,0,0,887.515062257,0,50,0.0247786329423,0,0,False,0,975066.838379
2025-02-12,975123.774904,0.000969484328291,318126.127103,656997.647801,973563.376364,0,0,0,887.515062257,0,50,0.0248579214752,0,0,False,0,976011.289966
2025-02-13,977249.148082,0.00217959322963,318126.127103,659123.020979,974705.335067,0,0,0,887.515062257,0,50,0.0256970729162,0,0,False,0,978136.663144
2025-02-14,979691.498557,0.00249920962307,318126.127103,661565.371454,977503.343643,0,0,0,887.515062257,0,50,0.0268666849587,0,0,False,0,980579.013619
2025-02-17,977353.059506,-0.00238691369061,318126.127103,659226.932404,979008.777343,0,0,0,887.515062257,0,50,0.0258660944384,0,0,False,0,978240.574569
2025-02-18,975400.198245,-0.00199811239424,318126.127103,657274.071142,976759.026549,0,0,0,887.515062257,0,50,0.0259867202723,0,0,False,0,976287.713307
2025-02-19,972941.648847,-0.00252055453914,318126.127103,654815.521745,974538.461341,0,0,0,887.515062257,0,50,0.0259833737889,0,0,False,0,973829.16391
2025-02-20,970625.939091,-0.00238011165351,318126.127103,652499.811988,972390.143009,0,0,0,887.515062257,0,50,0.0259070094741,0,0,False,0,971513.454153
2025-02-21,966467.867785,-0.00428390705231,318126.127103,648341.740682,970705.025189,0,0,0,887.515062257,0,50,0.0262616334547,0,0,False,0,967355.382847
2025-02-24,967627.551889,0.00119991997912,318126.127103,649501.424786,965001.880193,0,0,0,887.515062257,0,50,0.0265077271864,0,0,False,0,968515.066951
2025-02-25,962639.541465,-0.00515488672644,318126.127103,644513.414363,966318.444142,0,0,0,887.515062257,0,50,0.026261446209,0,0,False,0,963527.056528
2025-02-26,969414.925885,0.00703834003061,318126.127103,651288.798783,962728.065237,0,0,0,887.515062257,0,50,0.0263549571278,0,0,False,0,970302.440947
2025-02-27,971614.176992,0.0022686375547,318126.127103,653488.04989,969937.557786,0,0,0,887.515062257,0,50,0.0268136068734,0,0,False,0,972501.692054
2025-02-28,966607.331669,-0.00515312090142,318126.127103,648481.204566,970551.271883,0,0,0,887.515062257,0,50,0.0268135659521,0,0,False,0,967494.846731
2025-03-03,967579.341427,0.00100558906018,318126.127103,649453.214324,967592.363561,0,0,0,887.515062257,0,50,0.0273417929184,0,0,False,0,968466.856489
2025-03-04,965423.216379,-0.00222837027982,318126.127103,647297.089276,966441.361778,0,0,0,887.515062257,0,50,0.0269160038469,0,0,False,0,966310.731441
2025-03-05,969430.66838,0.00415097952178,318126.127103,651304.541277,965615.071751,0,0,0,887.515062257,0,50,0.0266315807069,0,0,False,0,970318.183442
