factor,label,expression,ic_mean,ic_std,ic_valid_days,rank_ic_mean,rank_ic_std,rank_ic_valid_days,mean_factor_coverage,mean_spread,spread_valid_days
momentum_20,20日动量,"$close/Ref($close,20)-1",-0.031836075602149766,0.3450774640904688,1608,-0.024070973004183503,0.2953739142564532,1608,0.99536525475752,-0.006320229466731603,1608
reversal_5,5日反转,"1-$close/Ref($close,5)",0.012956402814658234,0.34016766062499515,1608,0.008685655389011188,0.2995420866033798,1608,0.9976672805402087,-0.00012164995826833071,1608
low_volatility_20,20日低波动,"0-Std($close/Ref($close,1)-1,20)",0.02335542208000585,0.3503563830932431,1608,0.06916010814634346,0.30761777101478227,1608,0.99536525475752,-0.010904197591744456,1608
trend_20,20日均线趋势,"$close/Mean($close,20)-1",-0.027442564097335816,0.3411503247333437,1608,-0.016921243864003215,0.2888200151561978,1608,0.9955187231430325,-0.0008622748666015236,1608
range_20,20日低振幅,"0-Mean(($high-$low)/$close,20)",0.02918850545681113,0.355168102257387,1608,0.07353177889103293,0.30611999708602333,1608,0.9955187231430325,-0.002918741170512003,1608
volume_trend,5/20日量趋势,"Mean($volume,5)/Mean($volume,20)-1",-0.005005130263216886,0.28248291047593105,1608,-0.0067017347791780806,0.2594203648444882,1608,0.9955187231430325,-0.0005215429707346135,1608
intraday_return,日内收益,$close/$open-1,-0.014752035537603903,0.32610778377543526,1608,-0.007594796436464104,0.28811885416104277,1608,0.9985880908532843,-0.0008384537081757615,1608
close_location,收盘区间位置,($close-$low)/($high-$low+1e-12),0.0026211401420885793,0.27749576851912994,1608,0.0028571908111180997,0.26964121774374233,1608,0.9985880908532843,0.001353708139017489,1608
