experiment,sessions,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,total_cost,mean_turnover,total_turnover,max_asset_weight,mean_holdings,trade_count,blocked_orders,stale_holding_days,gross_attribution_total_return,mean_cash_weight,partial_fill_orders
预选策略 / 基准费用,417,0.061159528137721964,0.03652478267450876,0.0664086880866636,0.5734096152066059,0.07011041525953621,7692.3053843666385,0.014481099027470202,6.038618294455074,0.036537873924034174,50.09592326139089,1134,0,7,0.06885183352208868,0.5173832774800262,2
相同打分 / 满仓等权组合,417,0.0809205674332183,0.04814686756378861,0.13747284539026708,0.4110925168329985,0.13121871202283553,11675.604599154358,0.021959864743061823,9.15726359785678,0.02818056788617134,50.04796163069545,1241,0,1,0.09259617203237247,0.001857177379985881,1
预选策略 / 双倍费用,417,0.05309664215815579,0.03175818289013144,0.06639850038289301,0.5040640552682164,0.07235441190579128,15296.036378869456,0.014448151731394432,6.0248792719914785,0.03645797051248932,50.09592326139089,1134,0,7,0.06839267853702524,0.5184074138558041,2
预选策略 / 零费用重跑,417,0.06931593910396727,0.04133211371181478,0.06644695782115755,0.642762074243697,0.06785258158744556,0.0,0.014514248894581715,6.052441789040575,0.036618140193795494,50.09592326139089,1134,0,7,0.06931593910396727,0.5163546720484765,2
