factor,processing,ic_mean,rank_ic_mean,valid_days,mean_valid_pairs
momentum_60_20,raw,-0.01412259831347191,-0.027087934336625735,878,896.126423690205
momentum_60_20,winsor_z,-0.012937325714245843,-0.027087940716366384,878,896.126423690205
momentum_60_20,industry_size_residual,-0.0034882757876001152,-0.0161167109735566,878,896.126423690205
reversal_5,raw,0.021620096650139906,0.02412680355323644,878,900.6833712984055
reversal_5,winsor_z,0.018491469418560835,0.02412332665831071,878,900.6833712984055
reversal_5,industry_size_residual,0.017636205053316225,0.01866362695708115,878,900.6833712984055
low_volatility_20,raw,0.03416515622901661,0.07852972580791552,878,900.6833712984055
low_volatility_20,winsor_z,0.034242727825434784,0.07852915245581701,878,900.6833712984055
low_volatility_20,industry_size_residual,0.03783291051672036,0.07221084314666838,878,900.6833712984055
range_20,raw,0.035533417921739155,0.08628177886303937,878,900.6833712984055
range_20,winsor_z,0.03513817251819392,0.08627762850302745,878,900.6833712984055
range_20,industry_size_residual,0.03769354556435161,0.07888433015660955,878,900.6833712984055
trend_20,raw,-0.031038118192293608,-0.045721630046105466,878,900.6833712984055
trend_20,winsor_z,-0.028504322124574447,-0.045718668637447404,878,900.6833712984055
trend_20,industry_size_residual,-0.022984556649385125,-0.03208568110287122,878,900.6833712984055
volume_trend,raw,-0.009882403566520676,-0.019998267154326205,878,900.6833712984055
volume_trend,winsor_z,-0.009534972075680442,-0.019994037163194756,878,900.6833712984055
volume_trend,industry_size_residual,-0.011586201180018475,-0.017061038461252336,878,900.6833712984055
liquidity_20,raw,-0.04534985937724106,-0.04067328857239319,878,900.6833712984055
liquidity_20,winsor_z,-0.046385177903881865,-0.04067320784703316,878,900.6833712984055
liquidity_20,industry_size_residual,-0.041543407060901635,-0.05136053019970294,878,900.6833712984055
turnover,raw,0.035696128131449595,0.06816421717313222,878,900.6833712984055
turnover,winsor_z,0.03751231966439544,0.06816056039825492,878,900.6833712984055
turnover,industry_size_residual,0.0442631824337858,0.06554770539305818,878,900.6833712984055
earnings_yield,raw,0.014915181087079947,0.04418830484530003,878,751.6195899772209
earnings_yield,winsor_z,0.015583999052089433,0.04418892726909492,878,751.6195899772209
earnings_yield,industry_size_residual,0.01685971444512123,0.042839683246781814,878,751.6195899772209
book_yield,raw,0.025625186280018176,0.07450323598663375,878,900.6833712984055
book_yield,winsor_z,0.02672841025127773,0.07450340160711637,878,900.6833712984055
book_yield,industry_size_residual,0.019120157437912105,0.05150858428576942,878,900.6833712984055
dividend_yield,raw,0.009205987704140692,0.038478678001563266,878,713.4430523917996
dividend_yield,winsor_z,0.01106249845710308,0.038473033040747555,878,713.4430523917996
dividend_yield,industry_size_residual,0.014691924630475167,0.03741325304276182,878,713.4430523917996
quality_roe,raw,-0.00787409804655867,-0.0002922016411966131,878,891.6902050113895
quality_roe,winsor_z,-0.008085595311585893,-0.00028830065428069783,878,891.6902050113895
quality_roe,industry_size_residual,0.004164873190023806,0.006831346521540937,878,891.6902050113895
