date,target_exposure,estimated_volatility,defensive,max_stock_weight,holdings
2024-12-31,0.4322248300168044,0.24986995771575898,False,0.012909607573916683,50
2025-02-06,0.5346116483510457,0.16842631886582085,False,0.016820453900667245,50
2025-03-06,0.5840608948430596,0.13083088983111502,False,0.022467343784803386,50
2025-04-03,0.225,0.11884203931990349,True,0.00878068697618789,50
2025-05-07,0.16994472873312522,0.15887518372164272,True,0.005668190705205581,50
2025-06-05,0.5525190345346657,0.162650651067442,False,0.020496078131312278,50
2025-07-03,0.5508309550154138,0.1660892156884092,False,0.025521362505614136,50
2025-07-31,0.585217892168113,0.09258288547703387,False,0.028273378889650605,50
2025-08-28,0.6557712487217606,0.10035465491197496,False,0.03679391504118186,50
2025-09-25,0.6905527018723234,0.11840800313084612,False,0.03066466064302101,50
2025-10-31,0.6638296953453968,0.09963153072972247,False,0.031059306753443507,50
2025-11-28,0.6647046550706299,0.09885449654181311,False,0.036094658436269925,50
2025-12-26,0.6386562851415729,0.08675891611153777,False,0.031191909286206927,50
2026-01-27,0.5921182376454434,0.09107586145841516,False,0.026331204599186312,50
2026-03-04,0.22499999999999998,0.0965428157843806,True,0.010228803116344148,50
2026-04-01,0.19630512819017834,0.13754098147574975,True,0.005690394840347407,50
2026-04-30,0.5874797516926935,0.13683344701142325,False,0.02377080329855416,50
2026-06-02,0.5719942806422589,0.12908801654264085,False,0.023780125601733246,50
2026-07-01,0.6127932684515193,0.13741136923457153,False,0.024235968504353965,50
2026-07-29,0.16767170045185636,0.16102896271247946,True,0.004821362023936518,50
2026-08-26,0.1521618546674724,0.17744263211699526,True,0.005116397419463707,50
