year,net_return,cost_yuan,two_sided_turnover,sessions
2020,0.00435871092364315,58741.38350556999,50.227453130990995,243
2021,0.3474042025366266,73189.431097839,48.877457560122,243
2022,-0.5712440742688748,52340.470671858,50.903468593617,242
2023,-0.33938097357431063,30216.641251359004,49.232586239128004,242
2024,-0.3973761718564571,18858.544635783,50.678367324284004,242
2025,-0.15650657577144889,12037.302890382001,47.004443361244,243
2026,-0.1567312826961449,9112.442963332,35.081339827947,174
