experiment,start,end,sessions,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,total_cost,mean_turnover,total_turnover,max_asset_weight,mean_holdings,trade_count,blocked_orders,stale_holding_days,gross_attribution_total_return
legacy_recomputed,2020-01-02,2026-09-18,1629,-0.8356983397358988,-0.24375443038054323,0.3266753584938112,-0.6910262426942163,0.8982684128521546,254496.21701615228,0.20380915656067422,332.0051160373383,0.05458128666161648,29.58317986494782,14473,252,92,-0.5812021227197464
legacy_zero_cost,2020-01-02,2026-09-18,1629,-0.7515855334581938,-0.19381223475425446,0.3272038656293314,-0.49416724728060557,0.861403524539313,0.0,0.20410845569381664,332.4926743252273,0.05463467326966457,29.58317986494782,14473,252,92,-0.7515855334581938
legacy_same_period,2025-01-02,2026-09-18,417,-0.060185596046825385,-0.03681681298091022,0.3423432627889637,0.06167655998317254,0.3346463214490627,101397.9298316019,0.19354298389355085,80.7074242836107,0.059226575177182335,29.640287769784173,3647,62,29,0.04121233378477651
